arrival_date,modal_price
2024-09-04,70.18
2024-09-05,68.06
2024-09-06,64.12
2024-09-07,62.3
2024-09-08,64.8
2024-09-09,62.92
2024-09-10,69.3
2024-09-11,69.37
2024-09-12,65.62
2024-09-13,68.08
2024-09-14,66.91
2024-09-15,65.67
2024-09-16,75.82
2024-09-17,67.38
2024-09-18,73.48
2024-09-19,69.4
2024-09-20,67.39
2024-09-21,73.89
2024-09-22,75.61
2024-09-23,71.46
2024-09-24,70.11
2024-09-25,76.77
2024-09-26,72.38
2024-09-27,70.13
2024-09-28,73.01
2024-09-29,72.04
2024-09-30,74.94
2024-10-01,72.87
2024-10-02,77.57
2024-10-03,74.72
2024-10-04,76.64
2024-10-05,68.96
2024-10-06,71.95
2024-10-07,78.47
2024-10-08,66.28
2024-10-09,77.24
2024-10-10,70.08
2024-10-11,79.55
2024-10-12,66.08
2024-10-13,72.66
2024-10-14,67.52
2024-10-15,70.21
2024-10-16,69.66
2024-10-17,68.73
2024-10-18,77.19
2024-10-19,82.04
2024-10-20,72.5
2024-10-21,74.47
2024-10-22,69.04
2024-10-23,71.56
2024-10-24,72.94
2024-10-25,70.87
2024-10-26,69.7
2024-10-27,70.47
2024-10-28,69.99
2024-10-29,70.13
2024-10-30,66.9
2024-10-31,67.41
2024-11-01,65.62
2024-11-02,72.38
2024-11-03,62.22
2024-11-04,58.83
2024-11-05,67.87
2024-11-06,58.46
2024-11-07,66.64
2024-11-08,63.15
2024-11-09,63.38
2024-11-10,74.91
2024-11-11,58.75
2024-11-12,66.87
2024-11-13,64.37
2024-11-14,58.54
2024-11-15,65.62
2024-11-16,61.7
2024-11-17,58.58
2024-11-18,56.74
2024-11-19,60.87
2024-11-20,58.39
2024-11-21,54.73
2024-11-22,60.15
2024-11-23,61.85
2024-11-24,60.71
2024-11-25,64.47
2024-11-26,59.62
2024-11-27,61.05
2024-11-28,58.23
2024-11-29,55.29
2024-11-30,59.74
2024-12-01,56.62
2024-12-02,59.86
2024-12-03,60.96
2024-12-04,58.29
2024-12-05,56.72
2024-12-06,58.91
2024-12-07,51.54
2024-12-08,61.12
2024-12-09,59.75
2024-12-10,60.47
2024-12-11,62.26
2024-12-12,56.03
2024-12-13,60.47
2024-12-14,61.85
2024-12-15,56.95
2024-12-16,57.51
2024-12-17,60.93
2024-12-18,58.33
2024-12-19,56.58
2024-12-20,60.25
2024-12-21,59.3
2024-12-22,64.39
2024-12-23,69.99
2024-12-24,64.73
2024-12-25,64.23
2024-12-26,67.09
2024-12-27,64.11
2024-12-28,66.23
2024-12-29,60.83
2024-12-30,64.37
2024-12-31,62.97
2025-01-01,68.21
2025-01-02,76.54
2025-01-03,66.67
2025-01-04,67.99
2025-01-05,73.99
2025-01-06,71.3
2025-01-07,65.56
2025-01-08,69.8
2025-01-09,79.79
2025-01-10,73.01
2025-01-11,64.61
2025-01-12,75.15
2025-01-13,70.47
2025-01-14,71.24
2025-01-15,73.29
2025-01-16,73.99
2025-01-17,72.1
2025-01-18,70.41
2025-01-19,68.46
2025-01-20,79.57
2025-01-21,70.76
2025-01-22,73.11
2025-01-23,73.87
2025-01-24,69.59
2025-01-25,72.4
2025-01-26,75.78
2025-01-27,73.8
2025-01-28,75.8
2025-01-29,70.65
2025-01-30,78.64
2025-01-31,77.62
2025-02-01,74.29
2025-02-02,89.94
2025-02-03,73.9
2025-02-04,76.2
2025-02-05,71.65
2025-02-06,75.17
2025-02-07,73.64
2025-02-08,77.59
2025-02-09,77.48
2025-02-10,72.92
2025-02-11,76.28
2025-02-12,79.98
2025-02-13,71.68
2025-02-14,73.8
2025-02-15,70.95
2025-02-16,69.72
2025-02-17,72.44
2025-02-18,75.09
2025-02-19,70.52
2025-02-20,76.92
2025-02-21,68.9
2025-02-22,75.33
2025-02-23,74.08
2025-02-24,72.0
2025-02-25,64.49
2025-02-26,72.92
2025-02-27,70.8
2025-02-28,72.17
2025-03-01,72.02
2025-03-02,63.4
2025-03-03,71.24
2025-03-04,69.82
2025-03-05,65.33
2025-03-06,67.85
2025-03-07,66.11
2025-03-08,70.51
2025-03-09,70.36
2025-03-10,64.22
2025-03-11,66.25
2025-03-12,63.22
2025-03-13,66.58
2025-03-14,64.05
2025-03-15,63.89
2025-03-16,65.93
2025-03-17,61.37
2025-03-18,63.69
2025-03-19,64.99
2025-03-20,62.19
2025-03-21,63.88
2025-03-22,62.45
2025-03-23,65.89
2025-03-24,60.98
2025-03-25,59.92
2025-03-26,60.64
2025-03-27,62.16
2025-03-28,56.56
2025-03-29,59.29
2025-03-30,55.93
2025-03-31,56.01
2025-04-01,61.21
2025-04-02,61.78
2025-04-03,58.2
2025-04-04,61.69
2025-04-05,56.53
2025-04-06,61.3
2025-04-07,61.29
2025-04-08,61.68
2025-04-09,64.01
2025-04-10,77.43
2025-04-11,64.17
2025-04-12,64.4
2025-04-13,55.76
2025-04-14,61.46
2025-04-15,63.82
2025-04-16,67.83
2025-04-17,65.75
2025-04-18,59.38
2025-04-19,62.24
2025-04-20,69.76
2025-04-21,62.33
2025-04-22,64.46
2025-04-23,60.07
2025-04-24,64.18
2025-04-25,67.5
2025-04-26,63.37
2025-04-27,70.46
2025-04-28,66.37
2025-04-29,71.19
2025-04-30,68.19
2025-05-01,70.76
2025-05-02,69.18
2025-05-03,65.69
2025-05-04,70.52
2025-05-05,71.19
2025-05-06,69.73
2025-05-07,87.1
2025-05-08,68.55
2025-05-09,79.35
2025-05-10,71.0
2025-05-11,73.82
2025-05-12,71.64
2025-05-13,66.01
2025-05-14,79.49
2025-05-15,67.91
2025-05-16,71.26
2025-05-17,79.42
2025-05-18,72.55
2025-05-19,76.04
2025-05-20,70.75
2025-05-21,76.83
2025-05-22,78.08
2025-05-23,75.62
2025-05-24,67.54
2025-05-25,76.76
2025-05-26,74.15
2025-05-27,75.09
2025-05-28,81.25
2025-05-29,80.58
2025-05-30,77.92
2025-05-31,75.81
2025-06-01,71.47
2025-06-02,79.57
2025-06-03,78.2
2025-06-04,75.67
2025-06-05,79.28
2025-06-06,73.67
2025-06-07,83.15
2025-06-08,74.8
2025-06-09,76.91
2025-06-10,74.46
2025-06-11,75.51
2025-06-12,76.01
2025-06-13,68.6
2025-06-14,80.04
2025-06-15,80.01
2025-06-16,77.53
2025-06-17,79.87
2025-06-18,76.91
2025-06-19,75.79
2025-06-20,75.88
2025-06-21,77.08
2025-06-22,67.94
2025-06-23,71.19
2025-06-24,69.64
2025-06-25,77.03
2025-06-26,69.43
2025-06-27,73.66
2025-06-28,76.72
2025-06-29,70.48
2025-06-30,73.08
2025-07-01,70.87
2025-07-02,78.68
2025-07-03,70.5
2025-07-04,68.22
2025-07-05,74.25
2025-07-06,65.63
2025-07-07,67.47
