current_price,predicted_price_7d,price_volatility_30d,storage_capacity_kg,quantity_kg,days_since_harvest,distance_to_nearest_buyer_km,rain_probability_pct,demand_score,label
36.22,33.71,0.1473,0.0,656.8,9,57.5,35.8,0.599,SELL_NOW
76.55,70.69,0.2033,0.0,2536.0,1,92.8,9.9,0.213,SELL_NOW
61.24,76.74,0.1924,500.0,2202.2,7,14.4,75.8,0.502,SELL_NOW
51.91,48.0,0.0469,5000.0,2694.8,5,92.7,59.6,0.613,SELL_NOW
20.92,19.58,0.0458,5000.0,440.9,15,83.3,27.4,0.645,SELL_NOW
20.92,24.68,0.0744,500.0,2971.6,17,89.5,25.3,0.429,AGGREGATE
14.07,14.42,0.0967,1000.0,707.3,16,88.7,97.6,0.169,WAIT
70.63,83.94,0.108,0.0,134.2,5,57.5,86.3,0.69,SELL_NOW
52.08,43.36,0.1731,0.0,2992.5,12,26.9,81.0,0.54,SELL_NOW
59.57,62.17,0.0236,500.0,915.1,13,65.3,12.8,0.223,WAIT
11.44,9.35,0.0183,500.0,2037.3,20,115.0,75.5,0.942,SELL_NOW
77.89,64.76,0.1041,1000.0,612.4,9,71.4,21.5,0.96,SELL_NOW
68.27,85.56,0.1773,5000.0,1782.7,10,3.3,97.7,0.871,SELL_NOW
24.86,21.62,0.0564,200.0,2721.7,12,9.0,5.2,0.859,SELL_NOW
22.73,24.23,0.164,5000.0,1028.5,11,119.2,35.2,0.189,WAIT
22.84,22.97,0.0724,0.0,2043.7,8,10.5,42.9,0.994,SELL_NOW
31.3,30.47,0.2227,500.0,644.9,3,7.4,82.4,0.46,SELL_NOW
46.73,58.41,0.225,1000.0,1911.9,6,43.7,76.6,0.247,SELL_NOW
40.24,32.63,0.0813,5000.0,1075.7,1,116.4,37.5,0.831,SELL_NOW
30.39,34.39,0.0652,1000.0,712.5,6,39.6,56.6,0.303,STORE
52.83,67.71,0.1087,5000.0,1008.2,8,50.4,83.6,0.574,WAIT
19.76,21.35,0.0677,0.0,618.6,4,76.8,1.8,0.215,AGGREGATE
30.45,38.62,0.1714,200.0,2715.6,14,4.8,80.2,0.527,SELL_NOW
35.65,29.45,0.2083,1000.0,1251.8,17,107.9,94.7,0.602,SELL_NOW
41.92,42.32,0.1715,1000.0,811.3,3,63.3,3.2,0.501,WAIT
64.96,60.42,0.2078,200.0,1400.4,18,57.1,4.6,0.163,SELL_NOW
23.98,27.94,0.1053,1000.0,1029.6,19,103.6,34.5,0.536,AGGREGATE
46.0,59.37,0.0475,1000.0,2258.8,6,114.5,8.8,0.522,AGGREGATE
51.47,47.78,0.1871,5000.0,2916.5,7,52.0,47.9,0.335,SELL_NOW
13.25,14.94,0.0965,5000.0,1370.3,16,22.3,72.9,0.929,SELL_NOW
52.53,47.23,0.1711,200.0,2597.0,12,98.3,56.7,0.476,SELL_NOW
21.94,23.75,0.075,0.0,1741.0,20,49.6,19.6,0.878,AGGREGATE
14.55,15.02,0.0295,1000.0,556.0,10,112.4,65.5,0.199,WAIT
76.42,98.28,0.2482,0.0,2102.8,0,114.1,68.5,0.387,SELL_NOW
77.59,85.68,0.0475,200.0,1589.0,1,15.5,93.2,0.259,SELL_NOW
66.59,64.91,0.2472,200.0,1986.8,16,114.9,14.7,0.468,SELL_NOW
31.32,26.85,0.2445,5000.0,2680.1,4,45.5,69.2,0.2,SELL_NOW
16.84,14.74,0.2005,1000.0,1377.3,5,78.3,91.1,0.497,SELL_NOW
57.9,52.84,0.1683,500.0,2713.4,6,6.1,50.2,0.418,SELL_NOW
40.81,37.77,0.1487,200.0,2276.9,20,106.9,36.2,0.301,SELL_NOW
18.54,22.72,0.2179,1000.0,1517.0,14,77.7,17.1,0.678,AGGREGATE
44.66,48.26,0.0795,0.0,1849.3,18,77.9,86.7,0.956,SELL_NOW
12.41,13.17,0.1222,5000.0,1044.2,15,108.5,39.4,0.286,WAIT
73.65,63.15,0.1587,0.0,2952.4,12,62.0,92.5,0.741,SELL_NOW
28.11,34.58,0.1087,200.0,2035.3,4,50.4,84.8,0.768,SELL_NOW
56.38,65.48,0.1126,200.0,227.2,2,104.2,37.7,0.548,AGGREGATE
31.82,26.53,0.0893,0.0,1047.2,2,89.6,57.4,0.908,SELL_NOW
46.4,53.55,0.1454,200.0,1907.6,18,114.0,2.7,0.97,AGGREGATE
48.27,51.73,0.2141,1000.0,263.4,13,112.9,26.3,0.426,WAIT
22.94,19.29,0.0584,200.0,169.3,15,47.1,71.0,0.686,SELL_NOW
77.87,80.14,0.2343,5000.0,1405.1,16,54.7,67.8,0.696,WAIT
64.26,66.98,0.1754,1000.0,1064.8,3,32.2,35.3,0.463,WAIT
75.76,66.89,0.2076,500.0,1371.1,12,80.0,80.9,0.385,SELL_NOW
72.64,92.46,0.1435,200.0,861.8,7,45.0,23.6,0.94,AGGREGATE
51.85,63.52,0.1971,200.0,577.7,18,94.8,46.1,0.811,AGGREGATE
74.53,84.56,0.0139,5000.0,2098.5,4,16.3,47.3,0.203,STORE
16.19,16.7,0.2064,5000.0,1592.3,1,15.7,34.1,0.208,WAIT
23.72,23.86,0.0196,0.0,680.4,14,26.1,95.5,0.93,SELL_NOW
