arrival_date,modal_price
2024-09-04,16.82
2024-09-05,20.82
2024-09-06,19.71
2024-09-07,23.05
2024-09-08,29.64
2024-09-09,25.45
2024-09-10,26.96
2024-09-11,27.96
2024-09-12,28.38
2024-09-13,30.42
2024-09-14,30.73
2024-09-15,30.06
2024-09-16,30.88
2024-09-17,28.6
2024-09-18,30.64
2024-09-19,27.8
2024-09-20,26.9
2024-09-21,26.48
2024-09-22,24.96
2024-09-23,22.39
2024-09-24,23.31
2024-09-25,19.84
2024-09-26,18.74
2024-09-27,17.59
2024-09-28,15.07
2024-09-29,14.14
2024-09-30,13.86
2024-10-01,11.26
2024-10-02,9.28
2024-10-03,9.45
2024-10-04,8.83
2024-10-05,6.22
2024-10-06,6.53
2024-10-07,7.4
2024-10-08,6.25
2024-10-09,6.44
2024-10-10,6.63
2024-10-11,7.9
2024-10-12,7.23
2024-10-13,7.68
2024-10-14,10.02
2024-10-15,11.94
2024-10-16,12.39
2024-10-17,14.61
2024-10-18,17.18
2024-10-19,18.74
2024-10-20,20.84
2024-10-21,22.55
2024-10-22,23.79
2024-10-23,25.74
2024-10-24,25.7
2024-10-25,27.48
2024-10-26,27.86
2024-10-27,28.2
2024-10-28,30.48
2024-10-29,28.44
2024-10-30,30.85
2024-10-31,30.65
2024-11-01,30.45
2024-11-02,29.26
2024-11-03,29.22
2024-11-04,27.24
2024-11-05,26.99
2024-11-06,25.37
2024-11-07,25.4
2024-11-08,22.63
2024-11-09,21.77
2024-11-10,18.8
2024-11-11,23.01
2024-11-12,16.32
2024-11-13,13.96
2024-11-14,17.72
2024-11-15,11.39
2024-11-16,10.87
2024-11-17,7.29
2024-11-18,8.6
2024-11-19,6.79
2024-11-20,7.31
2024-11-21,5.15
2024-11-22,5.47
2024-11-23,6.27
2024-11-24,8.04
2024-11-25,8.17
2024-11-26,7.79
2024-11-27,10.29
2024-11-28,11.78
2024-11-29,13.2
2024-11-30,14.86
2024-12-01,15.68
2024-12-02,16.88
2024-12-03,18.94
2024-12-04,20.09
2024-12-05,21.54
2024-12-06,22.64
2024-12-07,24.83
2024-12-08,27.84
2024-12-09,27.02
2024-12-10,28.45
2024-12-11,29.15
2024-12-12,30.56
2024-12-13,29.92
2024-12-14,30.6
2024-12-15,30.22
2024-12-16,30.2
2024-12-17,30.17
2024-12-18,28.26
2024-12-19,29.06
2024-12-20,27.48
2024-12-21,25.79
2024-12-22,24.44
2024-12-23,22.28
2024-12-24,22.22
2024-12-25,20.18
2024-12-26,23.28
2024-12-27,16.83
2024-12-28,14.83
2024-12-29,11.89
2024-12-30,12.73
2024-12-31,10.65
2025-01-01,8.89
2025-01-02,8.23
2025-01-03,7.73
2025-01-04,5.45
2025-01-05,7.34
2025-01-06,6.65
2025-01-07,6.33
2025-01-08,6.26
2025-01-09,7.88
2025-01-10,8.85
2025-01-11,10.13
2025-01-12,10.58
2025-01-13,11.94
2025-01-14,12.78
2025-01-15,13.98
2025-01-16,18.05
2025-01-17,23.26
2025-01-18,20.73
2025-01-19,23.6
2025-01-20,23.73
2025-01-21,25.83
2025-01-22,24.77
2025-01-23,26.26
2025-01-24,28.19
2025-01-25,28.89
2025-01-26,31.17
2025-01-27,30.96
2025-01-28,30.38
2025-01-29,30.44
2025-01-30,31.74
2025-01-31,29.28
2025-02-01,28.58
2025-02-02,27.73
2025-02-03,27.87
2025-02-04,25.05
2025-02-05,24.14
2025-02-06,24.25
2025-02-07,20.68
2025-02-08,18.7
2025-02-09,17.09
2025-02-10,17.34
2025-02-11,14.37
2025-02-12,11.98
2025-02-13,10.86
2025-02-14,9.93
2025-02-15,8.88
2025-02-16,9.42
2025-02-17,8.64
2025-02-18,8.71
2025-02-19,7.22
2025-02-20,7.05
2025-02-21,7.4
2025-02-22,7.31
2025-02-23,9.39
2025-02-24,8.76
2025-02-25,10.9
2025-02-26,10.29
2025-02-27,13.39
2025-02-28,13.98
2025-03-01,14.0
2025-03-02,16.33
2025-03-03,19.22
2025-03-04,20.09
2025-03-05,21.94
2025-03-06,25.18
2025-03-07,25.41
2025-03-08,30.89
2025-03-09,28.3
2025-03-10,30.15
2025-03-11,30.3
2025-03-12,28.97
2025-03-13,30.62
2025-03-14,31.39
2025-03-15,29.89
2025-03-16,31.19
2025-03-17,29.59
2025-03-18,28.58
2025-03-19,27.1
2025-03-20,26.59
2025-03-21,24.86
2025-03-22,23.75
2025-03-23,23.84
2025-03-24,20.67
2025-03-25,18.21
2025-03-26,18.6
2025-03-27,17.54
2025-03-28,14.68
2025-03-29,12.18
2025-03-30,11.99
2025-03-31,10.69
2025-04-01,10.13
2025-04-02,9.95
2025-04-03,9.63
2025-04-04,7.06
2025-04-05,8.31
2025-04-06,7.26
2025-04-07,6.85
2025-04-08,7.58
2025-04-09,7.67
2025-04-10,8.47
2025-04-11,11.22
2025-04-12,10.92
2025-04-13,13.48
2025-04-14,14.27
2025-04-15,16.08
2025-04-16,16.29
2025-04-17,19.65
2025-04-18,19.84
2025-04-19,21.31
2025-04-20,24.7
2025-04-21,27.52
2025-04-22,26.33
2025-04-23,28.06
2025-04-24,29.06
2025-04-25,29.28
2025-04-26,30.04
2025-04-27,31.13
2025-04-28,30.37
2025-04-29,31.95
2025-04-30,31.61
2025-05-01,29.81
2025-05-02,30.03
2025-05-03,31.47
2025-05-04,27.14
2025-05-05,25.82
2025-05-06,22.85
2025-05-07,24.09
2025-05-08,21.58
2025-05-09,21.48
2025-05-10,19.07
2025-05-11,16.77
2025-05-12,15.46
2025-05-13,13.96
2025-05-14,12.53
2025-05-15,11.05
2025-05-16,10.04
2025-05-17,7.57
2025-05-18,13.84
2025-05-19,8.53
2025-05-20,6.56
2025-05-21,6.57
2025-05-22,6.27
2025-05-23,7.22
2025-05-24,8.42
2025-05-25,8.71
2025-05-26,9.74
2025-05-27,11.5
2025-05-28,12.59
2025-05-29,15.27
2025-05-30,17.26
2025-05-31,17.65
2025-06-01,19.81
2025-06-02,20.76
2025-06-03,23.02
2025-06-04,25.42
2025-06-05,30.37
2025-06-06,26.54
2025-06-07,29.05
2025-06-08,28.53
2025-06-09,31.32
2025-06-10,31.45
2025-06-11,33.3
2025-06-12,30.63
2025-06-13,30.19
2025-06-14,30.88
2025-06-15,30.4
2025-06-16,31.14
2025-06-17,29.16
2025-06-18,27.71
2025-06-19,27.97
2025-06-20,25.61
2025-06-21,24.76
2025-06-22,22.27
2025-06-23,20.44
2025-06-24,18.71
2025-06-25,16.66
2025-06-26,14.69
2025-06-27,15.1
2025-06-28,11.4
2025-06-29,9.83
2025-06-30,11.05
2025-07-01,8.37
2025-07-02,8.1
2025-07-03,7.71
2025-07-04,7.32
2025-07-05,7.52
2025-07-06,7.95
2025-07-07,9.18
2025-07-08,8.35
2025-07-09,8.9
2025-07-10,10.29
2025-07-11,11.65
2025-07-12,14.28
2025-07-13,15.7
2025-07-14,16.57
2025-07-15,16.83
2025-07-16,20.26
2025-07-17,20.92
2025-07-18,22.38
2025-07-19,25.23
2025-07-20,27.06
2025-07-21,27.26
2025-07-22,28.24
2025-07-23,30.01
2025-07-24,29.24
2025-07-25,31.68
2025-07-26,30.74
2025-07-27,31.28
2025-07-28,31.42
2025-07-29,30.78
2025-07-30,32.4
2025-07-31,31.51
2025-08-01,28.76
2025-08-02,27.9
2025-08-03,27.44
2025-08-04,25.46
2025-08-05,23.64
2025-08-06,21.07
2025-08-07,19.11
2025-08-08,18.91
2025-08-09,17.57
2025-08-10,16.46
2025-08-11,14.63
2025-08-12,11.53
2025-08-13,10.65
2025-08-14,11.75
2025-08-15,8.66
2025-08-16,8.15
2025-08-17,9.81
2025-08-18,7.05
2025-08-19,7.16
2025-08-20,7.82
2025-08-21,7.71
2025-08-22,9.11
2025-08-23,10.7
2025-08-24,12.44
2025-08-25,12.98
2025-08-26,15.48
2025-08-27,14.86
2025-08-28,15.48
2025-08-29,16.82
2025-08-30,20.18
2025-08-31,21.21
2025-09-01,23.15
2025-09-02,25.24
2025-09-03,26.36
2025-09-04,28.05
2025-09-05,28.07
2025-09-06,29.86
2025-09-07,30.9
2025-09-08,32.82
2025-09-09,31.8
2025-09-10,32.24
2025-09-11,32.51
2025-09-12,31.69
2025-09-13,30.79
2025-09-14,30.4
2025-09-15,29.92
2025-09-16,29.12
2025-09-17,28.55
2025-09-18,25.36
2025-09-19,23.04
2025-09-20,22.19
2025-09-21,19.66
2025-09-22,18.79
2025-09-23,18.99
2025-09-24,17.33
2025-09-25,14.82
2025-09-26,11.11
2025-09-27,10.67
2025-09-28,10.97
2025-09-29,11.1
2025-09-30,8.87
2025-10-01,8.59
2025-10-02,8.24
2025-10-03,6.77
2025-10-04,8.54
2025-10-05,9.4
2025-10-06,11.0
2025-10-07,9.84
2025-10-08,11.85
2025-10-09,12.58
2025-10-10,14.33
2025-10-11,14.96
2025-10-12,16.0
2025-10-13,18.21
2025-10-14,19.55
2025-10-15,22.84
2025-10-16,23.14
2025-10-17,25.9
2025-10-18,27.23
2025-10-19,27.75
2025-10-20,28.94
2025-10-21,30.57
2025-10-22,31.54
2025-10-23,31.27
2025-10-24,30.51
2025-10-25,31.19
2025-10-26,31.2
2025-10-27,30.79
2025-10-28,32.99
2025-10-29,30.68
2025-10-30,29.76
2025-10-31,28.82
2025-11-01,26.98
2025-11-02,26.21
2025-11-03,22.64
2025-11-04,23.19
2025-11-05,21.67
2025-11-06,19.05
2025-11-07,19.05
2025-11-08,15.01
2025-11-09,14.21
2025-11-10,13.06
2025-11-11,12.23
2025-11-12,11.64
2025-11-13,11.9
2025-11-14,7.89
2025-11-15,16.0
2025-11-16,8.63
2025-11-17,8.14
2025-11-18,7.43
2025-11-19,7.83
2025-11-20,8.94
2025-11-21,10.25
2025-11-22,11.2
2025-11-23,12.54
2025-11-24,14.55
2025-11-25,16.13
2025-11-26,15.78
2025-11-27,18.52
2025-11-28,20.45
2025-11-29,22.06
2025-11-30,23.6
2025-12-01,25.29
2025-12-02,25.09
2025-12-03,28.87
2025-12-04,28.97
2025-12-05,30.6
2025-12-06,32.14
2025-12-07,33.42
2025-12-08,32.37
2025-12-09,33.16
2025-12-10,32.27
2025-12-11,32.4
2025-12-12,32.43
2025-12-13,30.24
2025-12-14,31.12
2025-12-15,29.31
2025-12-16,27.73
2025-12-17,26.73
2025-12-18,25.9
2025-12-19,22.63
2025-12-20,22.5
2025-12-21,20.61
2025-12-22,19.03
2025-12-23,15.51
2025-12-24,14.94
2025-12-25,12.91
2025-12-26,11.97
2025-12-27,11.5
2025-12-28,10.43
2025-12-29,9.65
2025-12-30,9.01
2025-12-31,8.79
2026-01-01,7.73
2026-01-02,10.76
2026-01-03,9.9
2026-01-04,10.56
2026-01-05,10.88
2026-01-06,11.44
2026-01-07,13.31
2026-01-08,14.5
2026-01-09,15.84
2026-01-10,17.59
2026-01-11,18.23
2026-01-12,19.65
