arrival_date,modal_price
2024-09-04,42.9
2024-09-05,45.93
2024-09-06,42.51
2024-09-07,44.84
2024-09-08,44.88
2024-09-09,47.23
2024-09-10,47.67
2024-09-11,47.1
2024-09-12,46.27
2024-09-13,50.09
2024-09-14,45.04
2024-09-15,45.19
2024-09-16,44.4
2024-09-17,50.0
2024-09-18,47.96
2024-09-19,51.89
2024-09-20,52.11
2024-09-21,52.25
2024-09-22,49.81
2024-09-23,54.62
2024-09-24,50.4
2024-09-25,51.44
2024-09-26,52.86
2024-09-27,50.83
2024-09-28,49.93
2024-09-29,50.86
2024-09-30,50.48
2024-10-01,53.13
2024-10-02,51.96
2024-10-03,48.19
2024-10-04,50.96
2024-10-05,50.39
2024-10-06,47.99
2024-10-07,50.24
2024-10-08,46.93
2024-10-09,49.85
2024-10-10,42.64
2024-10-11,46.22
2024-10-12,47.65
2024-10-13,43.46
2024-10-14,45.97
2024-10-15,47.92
2024-10-16,47.2
2024-10-17,44.27
2024-10-18,45.36
2024-10-19,44.11
2024-10-20,48.02
2024-10-21,44.21
2024-10-22,44.44
2024-10-23,44.41
2024-10-24,43.83
2024-10-25,41.65
2024-10-26,41.85
2024-10-27,43.42
2024-10-28,42.0
2024-10-29,42.02
2024-10-30,43.3
2024-10-31,39.26
2024-11-01,42.98
2024-11-02,41.4
2024-11-03,42.92
2024-11-04,44.2
2024-11-05,38.51
2024-11-06,39.93
2024-11-07,40.71
2024-11-08,39.25
2024-11-09,38.63
2024-11-10,35.01
2024-11-11,39.76
2024-11-12,42.09
2024-11-13,38.85
2024-11-14,39.75
2024-11-15,43.65
2024-11-16,43.51
2024-11-17,42.34
2024-11-18,41.8
2024-11-19,41.12
2024-11-20,42.33
2024-11-21,39.94
2024-11-22,46.57
2024-11-23,43.01
2024-11-24,42.13
2024-11-25,40.71
2024-11-26,46.37
2024-11-27,43.74
2024-11-28,45.83
2024-11-29,46.4
2024-11-30,46.78
2024-12-01,49.72
2024-12-02,44.85
2024-12-03,44.97
2024-12-04,59.82
2024-12-05,48.94
2024-12-06,46.3
2024-12-07,47.11
2024-12-08,46.8
2024-12-09,52.59
2024-12-10,51.04
2024-12-11,50.39
2024-12-12,53.71
2024-12-13,47.25
2024-12-14,48.97
2024-12-15,48.25
2024-12-16,51.98
2024-12-17,50.85
2024-12-18,50.82
2024-12-19,48.96
2024-12-20,49.83
2024-12-21,54.46
2024-12-22,53.19
2024-12-23,51.33
2024-12-24,50.47
2024-12-25,52.38
2024-12-26,54.15
2024-12-27,49.28
2024-12-28,50.71
2024-12-29,50.78
2024-12-30,51.29
2024-12-31,57.01
2025-01-01,54.18
2025-01-02,53.89
2025-01-03,50.28
2025-01-04,50.89
2025-01-05,49.75
2025-01-06,60.84
2025-01-07,48.6
2025-01-08,52.12
2025-01-09,50.83
2025-01-10,50.26
2025-01-11,49.48
2025-01-12,49.52
2025-01-13,43.79
2025-01-14,47.42
2025-01-15,51.37
2025-01-16,48.26
2025-01-17,43.4
2025-01-18,41.48
2025-01-19,44.26
2025-01-20,48.93
2025-01-21,46.49
2025-01-22,52.31
2025-01-23,47.37
2025-01-24,46.72
2025-01-25,41.76
2025-01-26,42.55
2025-01-27,47.16
2025-01-28,44.63
2025-01-29,46.16
2025-01-30,42.93
2025-01-31,44.45
2025-02-01,41.4
2025-02-02,50.43
2025-02-03,40.48
2025-02-04,42.88
2025-02-05,41.65
2025-02-06,36.32
2025-02-07,41.57
2025-02-08,39.97
2025-02-09,40.4
2025-02-10,41.54
2025-02-11,38.63
2025-02-12,44.46
2025-02-13,41.1
2025-02-14,43.64
2025-02-15,51.88
2025-02-16,43.72
2025-02-17,45.26
2025-02-18,44.86
2025-02-19,43.45
2025-02-20,47.53
2025-02-21,40.82
2025-02-22,48.74
2025-02-23,49.28
2025-02-24,47.79
2025-02-25,56.22
2025-02-26,44.78
2025-02-27,44.99
2025-02-28,55.65
2025-03-01,44.35
2025-03-02,47.72
2025-03-03,47.48
2025-03-04,52.3
2025-03-05,48.97
2025-03-06,51.37
2025-03-07,49.38
2025-03-08,48.96
2025-03-09,49.74
2025-03-10,50.3
2025-03-11,46.78
2025-03-12,50.8
2025-03-13,46.77
2025-03-14,51.63
2025-03-15,49.0
2025-03-16,47.66
2025-03-17,52.15
2025-03-18,51.95
2025-03-19,50.2
2025-03-20,54.24
2025-03-21,56.85
2025-03-22,51.0
2025-03-23,50.27
2025-03-24,53.43
2025-03-25,47.43
2025-03-26,50.17
2025-03-27,54.26
2025-03-28,50.68
2025-03-29,53.3
2025-03-30,56.04
2025-03-31,54.84
2025-04-01,51.07
2025-04-02,53.77
2025-04-03,53.3
2025-04-04,52.67
2025-04-05,52.57
2025-04-06,54.09
2025-04-07,47.88
2025-04-08,48.4
2025-04-09,50.38
2025-04-10,49.0
2025-04-11,50.56
2025-04-12,45.33
2025-04-13,52.58
2025-04-14,51.81
2025-04-15,47.42
2025-04-16,45.86
2025-04-17,48.51
2025-04-18,47.18
2025-04-19,48.17
2025-04-20,47.85
2025-04-21,46.38
2025-04-22,46.67
2025-04-23,49.37
2025-04-24,44.9
2025-04-25,46.49
2025-04-26,39.74
2025-04-27,47.18
2025-04-28,43.68
2025-04-29,41.42
2025-04-30,44.22
2025-05-01,40.94
2025-05-02,44.4
2025-05-03,43.73
2025-05-04,45.02
2025-05-05,43.37
2025-05-06,42.83
2025-05-07,45.12
2025-05-08,42.95
2025-05-09,44.58
2025-05-10,42.66
2025-05-11,43.05
2025-05-12,44.04
2025-05-13,42.07
2025-05-14,46.27
2025-05-15,41.75
2025-05-16,42.75
2025-05-17,42.76
2025-05-18,45.06
2025-05-19,45.46
2025-05-20,48.13
2025-05-21,51.76
2025-05-22,42.9
2025-05-23,47.98
2025-05-24,50.15
2025-05-25,51.39
2025-05-26,48.16
2025-05-27,47.31
2025-05-28,43.58
2025-05-29,47.15
2025-05-30,46.14
2025-05-31,47.49
2025-06-01,52.89
2025-06-02,52.38
2025-06-03,47.06
2025-06-04,50.53
2025-06-05,47.21
2025-06-06,47.76
2025-06-07,49.78
2025-06-08,53.49
2025-06-09,52.65
2025-06-10,50.71
2025-06-11,52.77
2025-06-12,49.43
2025-06-13,55.12
2025-06-14,50.16
2025-06-15,56.1
2025-06-16,50.0
2025-06-17,50.94
2025-06-18,51.99
2025-06-19,56.07
2025-06-20,48.96
2025-06-21,55.26
2025-06-22,65.42
2025-06-23,58.84
2025-06-24,56.67
2025-06-25,57.12
2025-06-26,53.34
2025-06-27,55.08
2025-06-28,54.75
2025-06-29,53.93
2025-06-30,55.12
2025-07-01,54.93
2025-07-02,49.56
2025-07-03,48.13
2025-07-04,53.25
2025-07-05,52.96
2025-07-06,53.14
2025-07-07,54.71
2025-07-08,48.93
2025-07-09,48.46
2025-07-10,47.37
2025-07-11,47.82
2025-07-12,49.82
2025-07-13,50.37
2025-07-14,49.79
2025-07-15,51.89
2025-07-16,45.23
2025-07-17,47.68
2025-07-18,46.0
2025-07-19,48.43
2025-07-20,46.21
2025-07-21,45.81
2025-07-22,44.3
2025-07-23,48.59
2025-07-24,48.15
2025-07-25,43.2
2025-07-26,49.24
2025-07-27,45.11
2025-07-28,45.69
2025-07-29,47.63
2025-07-30,45.94
2025-07-31,47.01
2025-08-01,45.45
2025-08-02,47.62
2025-08-03,40.67
2025-08-04,45.67
2025-08-05,44.45
2025-08-06,44.35
2025-08-07,41.63
2025-08-08,42.5
2025-08-09,47.14
2025-08-10,39.81
2025-08-11,49.43
2025-08-12,45.32
2025-08-13,46.16
2025-08-14,44.45
2025-08-15,48.3
2025-08-16,43.82
2025-08-17,49.71
2025-08-18,48.05
2025-08-19,44.52
2025-08-20,48.09
2025-08-21,47.98
2025-08-22,46.0
2025-08-23,46.41
2025-08-24,47.69
2025-08-25,47.41
2025-08-26,60.24
2025-08-27,49.1
2025-08-28,48.1
2025-08-29,47.96
2025-08-30,46.55
2025-08-31,48.16
2025-09-01,51.85
2025-09-02,54.39
2025-09-03,53.42
2025-09-04,51.04
2025-09-05,49.79
2025-09-06,47.41
2025-09-07,52.13
2025-09-08,47.83
2025-09-09,54.87
2025-09-10,55.45
2025-09-11,49.93
2025-09-12,50.32
2025-09-13,53.15
2025-09-14,55.79
2025-09-15,53.48
2025-09-16,52.94
2025-09-17,52.01
2025-09-18,55.06
2025-09-19,58.75
2025-09-20,54.38
2025-09-21,56.34
2025-09-22,57.23
2025-09-23,52.04
2025-09-24,53.55
2025-09-25,54.78
2025-09-26,53.43
2025-09-27,53.93
2025-09-28,53.81
2025-09-29,59.56
2025-09-30,54.92
2025-10-01,63.46
2025-10-02,46.14
2025-10-03,52.58
2025-10-04,54.96
2025-10-05,57.09
2025-10-06,49.47
2025-10-07,47.99
2025-10-08,53.06
2025-10-09,47.77
2025-10-10,45.41
2025-10-11,49.43
2025-10-12,51.66
2025-10-13,54.55
2025-10-14,51.76
2025-10-15,50.72
2025-10-16,46.65
2025-10-17,49.2
2025-10-18,49.45
2025-10-19,53.21
2025-10-20,52.03
2025-10-21,44.61
2025-10-22,51.44
2025-10-23,44.98
2025-10-24,47.23
2025-10-25,47.31
2025-10-26,49.81
2025-10-27,44.37
2025-10-28,43.33
2025-10-29,44.98
2025-10-30,45.44
2025-10-31,44.54
2025-11-01,42.85
2025-11-02,48.49
2025-11-03,46.01
2025-11-04,48.42
2025-11-05,46.29
2025-11-06,43.36
2025-11-07,50.74
2025-11-08,44.04
2025-11-09,43.4
2025-11-10,45.54
2025-11-11,47.99
2025-11-12,47.17
2025-11-13,46.68
2025-11-14,43.99
2025-11-15,42.91
2025-11-16,47.73
2025-11-17,48.66
2025-11-18,45.5
2025-11-19,53.1
2025-11-20,50.93
2025-11-21,48.78
2025-11-22,48.85
2025-11-23,50.38
2025-11-24,49.56
2025-11-25,48.31
2025-11-26,54.31
2025-11-27,49.18
2025-11-28,50.59
2025-11-29,51.5
2025-11-30,52.19
2025-12-01,54.49
2025-12-02,51.9
2025-12-03,51.61
2025-12-04,54.51
2025-12-05,57.11
2025-12-06,54.76
2025-12-07,53.29
2025-12-08,55.86
2025-12-09,55.48
2025-12-10,56.99
2025-12-11,54.11
2025-12-12,57.42
2025-12-13,55.3
2025-12-14,56.84
2025-12-15,57.39
2025-12-16,59.6
2025-12-17,57.46
2025-12-18,57.93
2025-12-19,56.85
2025-12-20,55.34
2025-12-21,55.32
2025-12-22,56.08
2025-12-23,55.66
2025-12-24,55.75
2025-12-25,56.87
2025-12-26,54.66
2025-12-27,57.99
2025-12-28,59.63
2025-12-29,54.18
2025-12-30,54.61
2025-12-31,56.27
2026-01-01,55.49
2026-01-02,51.32
2026-01-03,54.22
2026-01-04,55.5
2026-01-05,51.28
2026-01-06,54.8
2026-01-07,51.78
2026-01-08,53.31
2026-01-09,52.69
2026-01-10,55.9
2026-01-11,50.78
2026-01-12,53.56
2026-01-13,51.32
2026-01-14,50.18
2026-01-15,47.8
2026-01-16,49.53
