arrival_date,modal_price
2024-09-04,19.39
2024-09-05,21.36
2024-09-06,28.48
2024-09-07,29.67
2024-09-08,31.96
2024-09-09,34.56
2024-09-10,35.59
2024-09-11,35.41
2024-09-12,35.4
2024-09-13,34.4
2024-09-14,33.15
2024-09-15,30.77
2024-09-16,27.94
2024-09-17,25.27
2024-09-18,23.68
2024-09-19,20.47
2024-09-20,15.87
2024-09-21,12.62
2024-09-22,10.85
2024-09-23,10.03
2024-09-24,5.83
2024-09-25,4.73
2024-09-26,5.09
2024-09-27,5.33
2024-09-28,6.46
2024-09-29,5.52
2024-09-30,11.28
2024-10-01,11.49
2024-10-02,14.75
2024-10-03,17.04
2024-10-04,19.88
2024-10-05,25.56
2024-10-06,26.83
2024-10-07,29.53
2024-10-08,29.51
2024-10-09,32.53
2024-10-10,34.43
2024-10-11,33.8
2024-10-12,35.39
2024-10-13,35.32
2024-10-14,34.49
2024-10-15,29.81
2024-10-16,29.81
2024-10-17,24.53
2024-10-18,20.9
2024-10-19,21.59
2024-10-20,16.48
2024-10-21,14.5
2024-10-22,11.99
2024-10-23,9.01
2024-10-24,7.84
2024-10-25,6.19
2024-10-26,6.81
2024-10-27,5.84
2024-10-28,6.96
2024-10-29,8.96
2024-10-30,8.68
2024-10-31,13.04
2024-11-01,14.84
2024-11-02,17.13
2024-11-03,20.71
2024-11-04,22.24
2024-11-05,26.48
2024-11-06,29.19
2024-11-07,31.24
2024-11-08,34.51
2024-11-09,37.27
2024-11-10,34.36
2024-11-11,33.58
2024-11-12,35.35
2024-11-13,34.54
2024-11-14,32.13
2024-11-15,28.54
2024-11-16,27.16
2024-11-17,21.19
2024-11-18,22.0
2024-11-19,16.3
2024-11-20,13.14
2024-11-21,10.62
2024-11-22,9.82
2024-11-23,7.29
2024-11-24,5.05
2024-11-25,5.16
2024-11-26,5.07
2024-11-27,4.07
2024-11-28,6.61
2024-11-29,9.77
2024-11-30,11.13
2024-12-01,15.02
2024-12-02,14.82
2024-12-03,19.68
2024-12-04,23.9
2024-12-05,26.46
2024-12-06,29.02
2024-12-07,31.85
2024-12-08,33.16
2024-12-09,36.24
2024-12-10,35.4
2024-12-11,35.84
2024-12-12,35.59
2024-12-13,33.67
2024-12-14,32.91
2024-12-15,29.35
2024-12-16,26.82
2024-12-17,23.94
2024-12-18,18.95
2024-12-19,18.56
2024-12-20,16.23
2024-12-21,11.96
2024-12-22,9.97
2024-12-23,8.23
2024-12-24,6.73
2024-12-25,5.59
2024-12-26,6.81
2024-12-27,7.12
2024-12-28,8.61
2024-12-29,9.78
2024-12-30,12.07
2024-12-31,16.18
2025-01-01,16.64
2025-01-02,20.04
2025-01-03,23.96
2025-01-04,28.33
2025-01-05,29.23
2025-01-06,31.43
2025-01-07,32.43
2025-01-08,35.37
2025-01-09,35.91
2025-01-10,36.49
2025-01-11,34.15
2025-01-12,40.24
2025-01-13,30.16
2025-01-14,29.93
2025-01-15,30.31
2025-01-16,25.89
2025-01-17,21.38
2025-01-18,18.76
2025-01-19,13.96
2025-01-20,14.29
2025-01-21,8.34
2025-01-22,8.03
2025-01-23,5.52
2025-01-24,5.39
2025-01-25,5.02
2025-01-26,6.12
2025-01-27,9.63
2025-01-28,9.74
2025-01-29,12.46
2025-01-30,14.63
2025-01-31,15.19
2025-02-01,20.9
2025-02-02,23.39
2025-02-03,26.79
2025-02-04,31.15
2025-02-05,31.88
2025-02-06,35.33
2025-02-07,34.91
2025-02-08,36.0
2025-02-09,35.15
2025-02-10,35.01
2025-02-11,34.43
2025-02-12,33.93
2025-02-13,30.14
2025-02-14,26.59
2025-02-15,25.22
2025-02-16,21.72
2025-02-17,18.77
2025-02-18,15.04
2025-02-19,9.82
2025-02-20,11.75
2025-02-21,8.67
2025-02-22,6.86
2025-02-23,4.91
2025-02-24,5.48
2025-02-25,8.05
2025-02-26,9.39
2025-02-27,11.05
2025-02-28,11.0
2025-03-01,13.58
2025-03-02,18.25
2025-03-03,21.83
2025-03-04,23.3
2025-03-05,27.56
2025-03-06,29.87
2025-03-07,32.69
2025-03-08,33.52
2025-03-09,34.1
2025-03-10,37.21
2025-03-11,35.91
2025-03-12,36.43
2025-03-13,32.06
2025-03-14,32.56
2025-03-15,34.04
2025-03-16,26.14
2025-03-17,25.18
2025-03-18,21.69
2025-03-19,17.6
2025-03-20,14.42
2025-03-21,13.57
2025-03-22,9.94
2025-03-23,7.11
2025-03-24,5.45
2025-03-25,5.17
2025-03-26,5.98
2025-03-27,7.1
2025-03-28,8.47
2025-03-29,9.84
2025-03-30,13.16
2025-03-31,16.71
2025-04-01,17.25
2025-04-02,22.27
2025-04-03,25.4
2025-04-04,27.74
2025-04-05,30.35
2025-04-06,32.38
2025-04-07,33.95
2025-04-08,34.14
2025-04-09,33.3
2025-04-10,36.73
2025-04-11,35.93
2025-04-12,34.38
2025-04-13,31.49
2025-04-14,29.38
2025-04-15,27.02
2025-04-16,23.4
2025-04-17,20.84
2025-04-18,17.53
2025-04-19,14.16
2025-04-20,10.29
2025-04-21,9.91
2025-04-22,8.0
2025-04-23,6.0
2025-04-24,6.82
2025-04-25,7.92
2025-04-26,10.06
2025-04-27,8.63
