arrival_date,modal_price
2024-09-04,20.61
2024-09-05,20.51
2024-09-06,22.89
2024-09-07,22.64
2024-09-08,22.92
2024-09-09,22.56
2024-09-10,22.61
2024-09-11,23.74
2024-09-12,24.66
2024-09-13,25.52
2024-09-14,24.18
2024-09-15,22.06
2024-09-16,24.07
2024-09-17,25.19
2024-09-18,23.8
2024-09-19,25.97
2024-09-20,24.94
2024-09-21,25.69
2024-09-22,25.12
2024-09-23,25.37
2024-09-24,26.2
2024-09-25,25.07
2024-09-26,25.07
2024-09-27,24.8
2024-09-28,26.2
2024-09-29,24.85
2024-09-30,23.21
2024-10-01,24.71
2024-10-02,26.13
2024-10-03,24.46
2024-10-04,25.59
2024-10-05,22.82
2024-10-06,26.54
2024-10-07,25.02
2024-10-08,23.2
2024-10-09,23.6
2024-10-10,24.3
2024-10-11,22.9
2024-10-12,26.12
2024-10-13,28.47
2024-10-14,24.93
2024-10-15,25.41
2024-10-16,22.21
2024-10-17,21.26
2024-10-18,24.17
2024-10-19,22.2
2024-10-20,23.0
2024-10-21,22.23
2024-10-22,21.08
2024-10-23,22.74
2024-10-24,19.91
2024-10-25,21.07
2024-10-26,20.72
2024-10-27,19.18
2024-10-28,19.41
2024-10-29,25.76
2024-10-30,19.98
2024-10-31,21.26
2024-11-01,20.0
2024-11-02,18.35
2024-11-03,19.34
2024-11-04,17.67
2024-11-05,19.18
2024-11-06,19.08
2024-11-07,18.74
2024-11-08,19.39
2024-11-09,18.95
2024-11-10,18.39
2024-11-11,19.5
2024-11-12,18.79
2024-11-13,19.79
2024-11-14,20.38
2024-11-15,19.5
2024-11-16,20.1
2024-11-17,20.28
2024-11-18,21.22
2024-11-19,18.1
2024-11-20,18.43
2024-11-21,20.59
2024-11-22,21.94
2024-11-23,20.42
2024-11-24,21.91
2024-11-25,22.87
2024-11-26,22.69
2024-11-27,20.85
2024-11-28,19.77
2024-11-29,21.26
2024-11-30,22.72
2024-12-01,22.91
2024-12-02,21.9
2024-12-03,22.58
2024-12-04,24.43
2024-12-05,24.11
2024-12-06,23.53
2024-12-07,22.08
2024-12-08,24.2
2024-12-09,24.74
2024-12-10,22.08
2024-12-11,24.09
2024-12-12,23.18
2024-12-13,24.98
2024-12-14,25.38
2024-12-15,25.79
2024-12-16,25.51
2024-12-17,27.44
2024-12-18,22.79
2024-12-19,25.84
2024-12-20,26.2
2024-12-21,26.01
2024-12-22,24.72
2024-12-23,24.11
2024-12-24,27.45
2024-12-25,25.19
2024-12-26,25.36
2024-12-27,26.58
2024-12-28,24.12
2024-12-29,25.82
2024-12-30,27.17
2024-12-31,23.95
2025-01-01,25.48
2025-01-02,26.34
2025-01-03,25.84
2025-01-04,24.52
2025-01-05,25.57
2025-01-06,26.84
2025-01-07,28.94
2025-01-08,24.81
2025-01-09,22.75
2025-01-10,25.26
2025-01-11,23.87
2025-01-12,22.2
2025-01-13,23.87
2025-01-14,23.56
2025-01-15,24.11
